Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,postal code
1395000.0,"Rue de Wavre, 27",5,C,178,0,0,60,6468,50,4,1988,Good,2,3,1,4,Hyper equipped,Fuel oil,10666426,1301
189000.0,Avenue Louis Libert 1,2,E,346,0,1,0,360,32,2,1934,Good,1,0,0,0,Semi equipped,Fuel oil,10666419,4460
399999.0,Avenue Louis Libert 1,4,C,228,0,1,0,1059,44,4,2004,To be done up,1,0,1,0,Semi equipped,Fuel oil,10666418,4920
480000.0,Route du Condroz 72,4,D,274,0,0,120,2183,16,4,1987,Good,2,1,1,2,Installed,Electric,8,3
239000.0,Grote Baan 170,3,F,684,0,1,0,132,33,2,1952,Good,1,0,0,0,Hyper equipped,Electric,10666405,9300
170000.0,Place Emile Delalieux 1,1,B,106,0,0,8,0,26,0,2018,As new,1,1,0,1,Installed,Gas,20,20
310000.0,Brusselbaan 110,3,B,155,0,0,8,60,33,2,1930,Good,1,0,0,0,Installed,Gas,10666396,9300
297000.0,Rondplein 14/2,3,B,199,0,1,0,562,28,4,1973,0,1,0,1,0,Hyper equipped,0,10666390,3970
1990000.0,Chaussée de Waterloo 1382,5,A,3176,0,0,40,1184,65,4,2018,As new,3,1,1,5,USA hyper equipped,0,10666382,1180
595000.0,Chaussée de Waterloo 1382,3,D,190,0,0,7,0,54,2,1937,Good,2,1,1,2,Hyper equipped,Fuel oil,10666381,1200
700000.0,Voie de L'air Pur 211,3,C,218,0,1,0,3190,50,4,1993,As new,1,0,1,2,Installed,Fuel oil,10666371,4877
875000.0,Kempischveldweg 34,5,B,187,0,1,0,2146,46,4,1972,Good,2,0,1,0,USA hyper equipped,Gas,10666368,2930
1295000.0,Kempischveldweg 34,5,C,206,0,1,0,2710,0,4,1895,As new,2,0,1,0,Hyper equipped,0,10666367,2180
469000.0,"Avenue des Cerisiers, 212",4,F,283,0,0,40,343,40,3,1963,As new,1,1,1,2,Hyper equipped,0,10666352,1020
469000.0,"Avenue des Cerisiers, 212",4,C,283,0,0,40,343,40,3,1963,As new,1,1,1,2,Hyper equipped,0,1800,20
240000.0,"Avenue des Cerisiers, 212",2,E,221,0,0,17,0,28,0,1964,To renovate,1,1,0,1,Semi equipped,Gas,10666348,1200
215000.0,Den Triangel 2,2,B,109,0,1,0,0,0,3,2012,As new,1,0,0,1,USA hyper equipped,0,10560725,8810
200000.0,Avenue Baron Albert d'Huart 130,2,E,274,0,0,5,0,30,0,1970,To renovate,1,1,0,0,Installed,Gas,10666334,1030
950000.0,Chaussée de Marche 474,5,C,234,0,0,120,24347,40,4,1989,As new,2,2,0,2,Installed,Fuel oil,10666313,5150
840000.0,Rue Belliard 200,5,F,325,0,0,5,0,36,3,1931,As new,3,3,1,4,Hyper equipped,Gas,10666312,1150
1400000.0,Rue Belliard 200,8,E,253,0,1,0,305,389,2,1912,Good,4,116,1,2,Installed,Gas,10666309,1030
570000.0,Rue Belliard 200,2,G,733,0,0,8,0,55,2,1960,Just renovated,1,0,0,2,USA hyper equipped,Fuel oil,10666308,1040
840000.0,Rue Belliard 200,5,F,325,0,0,5,0,36,3,1931,As new,3,0,1,4,Hyper equipped,Gas,10666307,1160
250000.0,Joseph Durieux 151,4,G,590,0,0,30,1651,50,4,1980,To be done up,1,0,1,2,Semi equipped,Fuel oil,10666296,5640
250000.0,Joseph Durieux 151,4,G,590,0,0,30,1651,50,4,1980,To be done up,1,0,1,2,Semi equipped,Fuel oil,10666292,5650
620000.0,Avenue Louise 589,2,B,82,0,0,40,0,50,2,2005,As new,1,0,1,2,USA hyper equipped,Gas,10666278,1170
245000.0,Avenue François Sebrechts 26,2,E,250,0,0,8,0,30,0,1969,As new,1,0,0,1,Hyper equipped,0,10666277,1090
339000.0,Alphonse Claeys-Bouüaertlaan 57/001,5,C,295,0,0,0,70,0,0,1899,To be done up,1,0,0,0,Semi equipped,Gas,10666265,9050
339000.0,Alphonse Claeys-Bouüaertlaan 57/001,5,C,295,0,0,0,70,0,0,1899,To be done up,1,0,0,0,Semi equipped,Gas,10666264,9050
269950.0,Koeltorenlaan 11/3,3,E,496,0,0,21,0,28,0,1963,0,1,0,0,0,Installed,Gas,10666261,3580
845000.0,Jan Palfijnstraat 1A,4,D,396,0,0,0,6720,56,0,1966,0,1,0,1,0,Hyper equipped,Electric,10666257,8800
419000.0,Vrijheidsplein 19,3,F,872,0,1,0,1425,0,0,1965,To renovate,1,0,1,1,Installed,Electric,10666255,9240
397000.0,"Uitbreidingstraat 84,",5,D,318,0,0,0,273,36,0,1938,0,1,0,1,0,Installed,Gas,10666254,2170
3095000.0,Artanlaan 2,3,C,220,0,1,0,0,0,0,1994,As new,2,0,0,3,Hyper equipped,Electric,10666226,8670
699000.0,"Het Dorlik, 16",2,B,121,0,1,0,215,0,0,1920,0,1,0,1,2,Installed,Gas,10666183,3500
285000.0,"Het Dorlik, 16",3,B,154,0,1,0,20060,0,0,2016,0,1,0,0,0,Installed,Gas,10666182,3600
365000.0,Mechelbaan 445,3,F,533,0,1,0,935,0,0,1962,To renovate,1,0,0,1,Installed,Gas,10666180,2580
625000.0,Mechelbaan 445,3,A,100,0,0,0,496,0,0,2018,0,1,0,0,2,Hyper equipped,Gas,10666179,2580
348000.0,Mechelbaan 445,3,B,145,0,1,0,0,0,0,2008,0,1,0,0,2,Installed,Gas,10666178,2220
199000.0,Avenue Louise 120 (4e étage,2,E,216,0,1,0,0,32,2,1975,Good,1,1,0,1,Not installed,Fuel oil,10667177,1080
780000.0,Place Communale 8,5,F,339,0,0,3,100,15,2,1930,To be done up,1,2,0,3,Hyper equipped,Gas,10667169,1040
295000.0,Rue Haute 2,2,E,252,0,0,9,0,13,2,2007,Good,1,1,0,1,Installed,Electric,10667161,1080
539000.0,Rue de Wand 25,4,F,301,0,0,11,0,32,2,1956,0,2,0,0,3,Installed,Fuel oil,10667154,1020
329000.0,"Avenue du Château, 200",3,B,137,0,1,0,308,0,3,2008,Good,1,0,0,2,Installed,Gas,10643228,7712
409000.0,Dorpshart 10,3,B,190,0,0,15,310,0,3,1986,Good,1,0,0,2,Installed,Gas,10666990,2830
365000.0,Avenue Elisabeth 144,6,G,110092,0,0,30,1200,33,4,1974,0,1,0,1,2,Installed,Fuel oil,10666953,4910
578000.0,Rue Reine Astrid 26,4,C,187,0,0,25,886,40,4,2003,As new,1,0,1,2,Hyper equipped,Fuel oil,10666945,6700
599000.0,Rue Reine Astrid 26,3,B,100,0,0,30,309,52,2,2015,As new,2,0,0,3,USA hyper equipped,0,10666944,6700
275000.0,"Diestsesteenweg, 3",3,F,782,0,0,0,1000,23,4,1973,0,1,0,0,0,Installed,Fuel oil,10666938,3270
295000.0,Molenstraat 93,2,D,167,0,0,5,0,0,3,2011,As new,1,0,0,1,USA installed,Gas,10666907,1030
610000.0,Rue de Menin 400,3,C,185,0,0,55,954,56,4,2001,As new,1,2,1,0,Installed,Gas,10623098,7700
1250000.0,Plein 30 a,4,F,719,0,0,0,30000,0,4,1930,Just renovated,0,0,0,0,USA installed,Gas,10666900,8904
569000.0,Plein 30 a,4,C,228,0,1,0,801,0,4,2005,As new,1,0,1,0,USA hyper equipped,Gas,10545213,8710
354000.0,Meire 50,3,A,35,0,0,10,0,0,0,2022,As new,1,0,0,1,Installed,Gas,10666899,9620
279000.0,Meire 50,3,A,35,0,0,6,0,0,0,2022,As new,1,0,0,1,Installed,Gas,10666898,9620
270000.0,Bisschopslaan 16,4,F,601,0,0,0,500,0,2,1952,To renovate,1,0,0,2,Installed,Fuel oil,10666895,2470
298000.0,Bisschopslaan 16,3,F,694,0,0,0,391,39,2,1972,To be done up,1,0,1,1,Installed,Fuel oil,10666893,2470
379000.0,Guido Gezellelaan 16/5,3,D,328,0,1,0,1021,0,4,1988,Good,1,0,0,2,Hyper equipped,Fuel oil,10666887,3550
449000.0,Markt 6,3,C,208,0,0,0,1058,40,4,1987,Just renovated,2,0,1,3,USA hyper equipped,Gas,10666886,3290
199000.0,Herbert Hooverplein 14,1,B,123,1,1,0,0,0,2,2011,As new,1,1,0,1,Installed,Gas,10666884,3000
365000.0,Avenue Louise 433,5,G,546,0,0,0,0,21,2,1894,Good,1,1,0,1,Installed,Gas,10666879,1000
245000.0,Avenue Louise 433,2,E,217,0,0,0,0,21,2,1894,Good,1,1,0,1,Installed,Gas,10666878,1000
480000.0,Parklaan 59/1,5,G,431,0,0,16,98,20,2,1899,Good,3,4,0,4,Semi equipped,0,10455486,1210
599000.0,Rue de Tirlemont 23,4,B,124,0,0,120,1335,31,4,1900,As new,4,2,1,4,USA hyper equipped,0,3,20
269000.0,Rue de Tirlemont 23,3,G,580,0,1,0,528,31,2,1920,To renovate,1,0,0,1,USA semi equipped,0,10449507,5310
269000.0,Tervuursesteenweg 762 Bus 2,2,B,191,0,0,12,0,49,2,1996,As new,1,1,0,1,Hyper equipped,0,10666856,1800
640000.0,Brusselsesteenweg 415,4,E,472,0,0,0,560,37,4,1971,To renovate,2,0,0,2,Semi equipped,Fuel oil,10666852,3090
329000.0,Alsembergsesteenweg 660,2,E,486,0,0,0,402,0,4,1900,To be done up,1,0,0,2,Semi equipped,Fuel oil,10666836,1755
